,L2,P2,X2,dL2dt,dP2dt,dX2dt,F200,P100,F3,F2,F4,F5,T2,T3,F100,T100,Q100,T201,Q200
21.155051,0.9586834863192887,50.67963922504229,25.096152668062356,-0.025366488585747016,0.13322113513240968,0.2249868028048709,230.03244934421582,212.5835532939891,50.270581022576096,1.813037422337916,8.694292349377024,8.161407808847386,84.73674271282005,80.69457708709643,10.001256157103537,122.69535049661553,366.0459753499895,44.5136569108524,314.21420064062437
21.644949,0.9465731901823998,50.743472720669786,25.206241004503497,-0.023441663497022692,0.12731637850783575,0.23973439987511982,230.03244934421582,212.5835532939891,50.270581022576096,1.793417431596443,8.67541583834401,8.166150324312667,84.80700521793594,80.72694066937957,9.982743536306,122.69535049661553,365.36841342879956,44.524996108923546,314.3967874860377
22.0,0.9388596137297309,50.78788153339873,25.302008061077647,-0.019676938137442333,0.1228057826681382,0.3077505870628807,230.03244934421582,212.5835532939891,50.270581022576096,1.7328659509119992,8.660672811836847,8.169449681164295,84.8618819890496,80.74945593743315,9.968284717159927,122.69535049661553,364.8392206480533,44.53288476234426,314.5238127248253
22.155051,0.9361584607944016,50.806743242332814,25.357426895260197,-0.017373543729329845,0.12058044809069575,0.3518480292730597,230.03244934421582,212.5835532939891,50.270581022576096,1.6942980686486548,8.653172805937944,8.17085101357516,84.88979865235245,80.75901882386275,9.960929291946925,122.69535049661553,364.57001208525753,44.536235301923234,314.57776402264363
22.644949,0.927991296867392,50.864151179236224,25.527917450134236,-0.015549268179666545,0.11376922951523968,0.3546436406690824,230.03244934421582,212.5835532939891,50.270581022576096,1.680792303972008,8.630193059621321,8.175116141560364,84.97533429717103,80.78812464787276,9.93839253561313,122.69535049661553,363.74516680344055,44.54643308227357,314.741971450074
23.0,0.922945376130139,50.903658853284796,25.660185753779626,-0.012654026822049866,0.10876817106097365,0.3959205991899106,230.03244934421582,212.5835532939891,50.270581022576096,1.6399564843369603,8.613124052104038,8.178051367860142,85.03886887863625,80.8081550386154,9.92165257434565,122.69535049661553,363.13248422105085,44.553451111553706,314.8549776626155
23.155051,0.9212231283585226,50.92033820082114,25.726477028974127,-0.010988355274382825,0.10643741582699248,0.42293829984364145,230.03244934421582,212.5835532939891,50.270581022576096,1.6147268806506958,8.60504022483696,8.17929056152899,85.06895865283846,80.81661146781632,9.91372458232814,122.69535049661553,362.8423197132099,44.556413982747785,314.90268661886614
23.644949,0.9161869813041542,50.970732677143225,25.93076496772112,-0.009319795898158963,0.09931141308983504,0.4176096390847591,230.03244934421582,212.5835532939891,50.270581022576096,1.6061156417926132,8.580280276170566,8.183034623811228,85.16112060039326,80.84216146731161,9.889441941334482,122.69535049661553,361.95357505284204,44.56536591218688,315.04683301673225
24.0,0.9132368242512076,51.005084612210275,26.082099482158583,-0.007166141989522093,0.09420028231586179,0.438294924665409,230.03244934421582,212.5835532939891,50.270581022576096,1.580934906520771,8.56238793326967,8.185586804006222,85.22771981634006,80.85957789839061,9.87189451645684,122.69535049661553,361.31133930232033,44.571468090863185,315.14509195423955
24.155051,0.9122775548770407,51.0195098367693,26.152751966977767,-0.006023103021473598,0.09190485294339468,0.45199875710859155,230.03244934421582,212.5835532939891,50.270581022576096,1.566184121256037,8.554277939173435,8.186658527399855,85.2579069892069,80.86689148724203,9.863940862038854,122.69535049661553,361.0202355506221,44.574030546152336,315.18635330489445
24.644949,0.9096596304677126,51.062807096902446,26.370712636802942,-0.004541415566308391,0.08489130889811512,0.44125458435352566,230.03244934421582,212.5835532939891,50.270581022576096,1.5613877743852027,8.529440536940966,8.189875301348506,85.35035723588501,80.88884319812955,9.839582260583242,122.69535049661553,360.1287107373467,44.58172174657558,315.3101991019174
25.0,0.9083083102504899,51.09206599175185,26.527963271566893,-0.003005896211172322,0.07994266955892523,0.4463401740663856,230.03244934421582,212.5835532939891,50.270581022576096,1.5482981523385633,8.511819771884884,8.192049093649183,85.41594557965965,80.90367745781819,9.822301178233054,122.69535049661553,359.4962231233298,44.58691921227567,315.39389010549354
